Descrição;Código;DÉBITO;CRÉDITO;INDIVIDUALIZAR
Provisão - líquido GPS;10004;DCINSS;INSSPGR;NÃO
Provisão - NF retenção;10011;INSSPGR;CD;NÃO
Provisão - FGTS;10015;DCFGTS;FGTSPGR;NÃO
Provisão - Contribuição Social;10016;DCFGTS;FGTSPGR;NÃO
Provisão - FGTS da GRRF;10017;DCFGTS;GRRFPGR;NÃO
Provisão - Contribuição Social da GRRF;10018;DCFGTS;GRRFPGR;NÃO
Provisão - Multa 40%;10020;MULTARESC;GRRFPGR;NÃO
Provisão - Multa 10%;10021;MULTARESC;GRRFPGR;NÃO
Provisão - PIS;10022;PIS;PISPGR;NÃO
Provisão - GRRF Contribuição social patronal;10025;DCSINDPAT;CSPGR;NÃO
Provisão - NF cooperativa;10033;DCINSS;INSSPGR;NÃO
Provisão - IR funcionários;10034;SALPGR;IRFPFPGR;NÃO
Provisão - IR prolaboristas;10035;PROLPGR;IRRFPROPGR;NÃO
Provisão - IR autônomos;10036;RENDPGR;IRRFPROPGR;NÃO
Provisão - IR PLR funcionários;10038;PLRPGR;IRRFPLR;NÃO
Provisão - Compensação NF;11108;INSSPGR;DCINSS;NÃO
Pagamento - Líquido funcionários;20000;SALPGR;CX;SIM
Pagamento - Líquidos rescisões;20001;RESCPGR;CX;SIM
Pagamento - Líquido prolaboristas;20002;PROLPGR;CX;SIM
Pagamento - Líquido autônomos;20003;RENDPGR;CX;SIM
Pagamento - Líquido GPS;20004;INSSPGR;CX;NÃO
Pagamento - Líquido multas GPS;20012;MULTAS;CX;NÃO
Pagamento - FGTS;20015;FGTSPGR;CX;NÃO
Pagamento - Contribuição social;20016;FGTSPGR;CX;NÃO
Pagamento - FGTS da GRRF;20017;GRRFPGR;CX;NÃO
Pagamento - Contribuição social GRRF;20018;GRRFPGR;CX;NÃO
Pagamento - Multa GRRF;20019;MULTAS;CX;NÃO
Pagamento - Multa 40%;20020;GRRFPGR;CX;NÃO
Pagamento - Multa 10%;20021;GRRFPGR;CX;NÃO
Pagamento - PIS;20022;PISPGR;CX;NÃO
Pagamento - Multa PIS;20023;MULTAS;CX;NÃO
Pagamento - Multa IR;20024;MULTAS;CX;NÃO
Pagamento - GRCS Patronal;20025;CSPGR;CX;NÃO
Pagamento - Multas GRCS Patronal;20026;MULTAS;CX;NÃO
Pagamento - Líquido adiantamento funcionários;20027;ADDPGR;CX;SIM
Pagamento - Líquido complemento;20028;SALPGR;CX;SIM
Pagamento - Líquido férias;20029;ADDFERIS;CX;SIM
Pagamento - Líquido adiantamento 13º;20030;AD13SALPGR;CX;SIM
Pagamento - Líquido 13º;20031;13SALPGR;CX;SIM
Pagamento - Líquido complemento 13º;20032;13SALPGR;CX;SIM
Pagamento - Multa FGTS;20033;MULTAS;CX;NÃO
Pagamento - IR Funcionários;20036;IRFPFPGR;CX;NÃO
Pagamento - Líquido PLR funcionários;20037;PLRPGR;CX;SIM
Pagamento - IR prolaboristas;20038;IRRFPROPGR;CX;NÃO
Pagamento - IR autônomos;20039;IRRFPROPGR;CX;NÃO
Salário Mensalista;1;DCSAL;SALPGR;NÃO
Salário Diarista;6;DCSAL;SALPGR;NÃO
Salário Horista;7;DCSAL;SALPGR;NÃO
Salário Aposentado;10;DCSAL;SALPGR;NÃO
Bolsa de estudo - Estágio;20;DCSAL;SALPGR;NÃO
Salário Doméstica c/ FGTS;25;DCSAL;SALPGR;NÃO
Salário Doméstica;26;DCSAL;SALPGR;NÃO
Honorário Autônomo;30;DCAUT;RENDPGR;NÃO
Pró-Labore proprietário/sócio;35;DCPROLAB;PROLPGR;NÃO
Salário Hora Normal;45;DCSAL;SALPGR;NÃO
Salário Habitação;51;DCSAL;SALPGR;NÃO
Salário Utilidade;52;SALPGR;DCSAL;NÃO
Salário Habitação;53;SALPGR;DCSAL;NÃO
Aluguel;54;SALPGR;DCSAL;NÃO
Gratificações;60;DCSAL;SALPGR;NÃO
Prêmio;65;DCSAL;SALPGR;NÃO
Assiduidade;70;DCSAL;SALPGR;NÃO
Quebra de Caixa;75;DCSAL;SALPGR;NÃO
Abono;80;DCSAL;SALPGR;NÃO
Pontos;85;DCSAL;SALPGR;NÃO
Salário Semanal;96;DCSAL;SALPGR;NÃO
Pró-Labore Semanal prioritário/sócio;97;DCSAL;SALPGR;NÃO
Salário Semanal Autônomo;98;DCSAL;SALPGR;NÃO
Adicional Insalubridade;101;DCSAL;SALPGR;NÃO
Adicional Periculosidade;116;DCSAL;SALPGR;NÃO
Adicional Noturno;131;DCSAL;SALPGR;NÃO
Anuênio;146;DCSAL;SALPGR;NÃO
Biênio;147;DCSAL;SALPGR;NÃO
